都市名,売りor買い,商品名,値段,傾向,倍率,販売個数,特産品,更新時間
マンド鉱山,買い,マンドツールセット,915,1,1.04,27,特産品,2024-12-15 23:28:05
マンド鉱山,買い,石材,171,1,0.95,45,通常品,2024-12-15 23:28:05
マンド鉱山,買い,骨材,29,-1,0.98,72,通常品,2024-12-15 23:28:05
マンド鉱山,買い,建築材料,423,-1,0.94,30,通常品,2024-12-15 23:28:05
マンド鉱山,買い,鉄鉱石,343,-1,0.98,36,通常品,2024-12-15 23:28:05
マンド鉱山,買い,鉄筋コンクリートまくらぎ,594,-1,1.1,36,通常品,2024-12-15 23:28:05
マンド鉱山,買い,鉄道用特殊鋼,1004,-1,0.93,24,通常品,2024-12-15 23:28:05
マンド鉱山,買い,黄銅,570,1,0.92,30,通常品,2024-12-15 23:28:05
マンド鉱山,売り,トランク,673,1,1.14,32,通常品,2024-12-15 23:28:05
マンド鉱山,売り,火澄石,7503,-1,0.97,2,特産品,2024-12-15 23:28:05
マンド鉱山,売り,炭素繊維,1530,-1,0.95,18,特産品,2024-12-15 23:28:05
マンド鉱山,売り,扇,911,1,1.01,27,特産品,2024-12-15 23:28:05
マンド鉱山,売り,棉花,873,-1,1.03,23,特産品,2024-12-15 23:28:05
マンド鉱山,売り,ハニカム構造断熱材料,3938,1,0.87,8,特産品,2024-12-15 23:28:05
マンド鉱山,売り,ロブスター,1226,-1,0.84,24,特産品,2024-12-15 23:28:05
マンド鉱山,売り,宇宙半導体,9169,-1,1.03,3,特産品,2024-12-15 23:28:05
マンド鉱山,売り,真丝羽绒枕头,2897,1,0.95,1,特産品,2024-12-15 23:28:05
マンド鉱山,売り,蕾丝花边,1937,-1,0.89,1,特産品,2024-12-15 23:28:05
マンド鉱山,売り,蕾丝连衣裙,3232,1,1.1,8,特産品,2024-12-15 23:28:05
マンド鉱山,売り,花呢,1467,1,0.89,1,特産品,2024-12-15 23:28:05
マンド鉱山,売り,银制列车工艺品,4336,1,1.02,1,通常品,2024-12-15 23:28:05
マンド鉱山,売り,牛仔裤,475,-1,0.87,10,通常品,2024-12-15 23:28:05
マンド鉱山,売り,纯棉布料,986,1,1.16,21,通常品,2024-12-15 23:28:05
マンド鉱山,売り,GPU,1536,0,1.0,12,特産品,2024-12-15 23:28:05
マンド鉱山,売り,纯棉T恤,598,-1,1.07,35,通常品,2024-12-15 23:28:05
